epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6246,1.12486,1.66516,1.27094,0.77373,0.39751,0.45574,0.33896,0.89596,1.07995,1.13951,0.0671964,0.000331349,0.000331349
2,48.9251,0.89262,0.93238,1.14278,0.51019,0.58705,0.55993,0.43455,0.70518,0.82464,1.03756,0.0341951,0.000663366,0.000663366
3,71.7866,0.808,0.80051,1.09621,0.54182,0.66602,0.5891,0.47378,0.6556,0.69427,1.02152,0.00119248,0.000994064,0.000994064
4,94.7169,0.75381,0.73379,1.07041,0.5768,0.69539,0.63238,0.49843,0.71601,0.6538,1.03469,0.00099406,0.00099406,0.00099406
5,117.668,0.71874,0.68547,1.05088,0.55065,0.77275,0.62561,0.52226,0.57029,0.57863,0.96805,0.00099208,0.00099208,0.00099208
6,140.871,0.67587,0.64995,1.03095,0.53753,0.72807,0.61233,0.51287,0.58399,0.58714,0.97279,0.0009901,0.0009901,0.0009901
7,164.459,0.66023,0.62541,1.01885,0.58775,0.73378,0.64219,0.52969,0.54263,0.5535,0.96051,0.00098812,0.00098812,0.00098812
8,187.891,0.6381,0.60529,1.0081,0.58643,0.72553,0.64588,0.54656,0.50981,0.52953,0.94509,0.00098614,0.00098614,0.00098614
9,211.458,0.61816,0.59525,1.00359,0.57876,0.79361,0.64904,0.56454,0.49592,0.52394,0.93619,0.00098416,0.00098416,0.00098416
10,234.854,0.60419,0.57711,0.99272,0.58431,0.80533,0.65835,0.5686,0.498,0.49298,0.94486,0.00098218,0.00098218,0.00098218
11,257.874,0.59324,0.56624,0.98932,0.60652,0.72395,0.65708,0.56717,0.46152,0.4843,0.92691,0.0009802,0.0009802,0.0009802
12,281.411,0.58119,0.55709,0.98386,0.54565,0.88263,0.65639,0.57231,0.4741,0.48078,0.92736,0.00097822,0.00097822,0.00097822
13,304.815,0.56113,0.54231,0.97621,0.63694,0.70961,0.66082,0.56874,0.47068,0.49025,0.9295,0.00097624,0.00097624,0.00097624
14,328.229,0.56178,0.54363,0.97237,0.6092,0.76957,0.65642,0.57444,0.46806,0.46828,0.9218,0.00097426,0.00097426,0.00097426
15,351.453,0.56566,0.53857,0.97292,0.5709,0.77557,0.65969,0.58931,0.4129,0.4537,0.89703,0.00097228,0.00097228,0.00097228
16,374.622,0.54091,0.52,0.96164,0.60062,0.73621,0.66153,0.5783,0.44561,0.47015,0.91422,0.0009703,0.0009703,0.0009703
17,397.937,0.54786,0.5252,0.9621,0.56263,0.85339,0.66193,0.58446,0.43754,0.47405,0.91213,0.00096832,0.00096832,0.00096832
18,421.322,0.53926,0.5181,0.96317,0.58707,0.76225,0.67492,0.59702,0.42224,0.46257,0.90939,0.00096634,0.00096634,0.00096634
19,444.644,0.54284,0.51599,0.96462,0.63758,0.67751,0.66519,0.58814,0.4411,0.46637,0.91378,0.00096436,0.00096436,0.00096436
20,468.095,0.54024,0.51696,0.96026,0.62775,0.75191,0.66613,0.58442,0.44844,0.47347,0.91393,0.00096238,0.00096238,0.00096238
21,491.333,0.52639,0.50371,0.95313,0.59611,0.78795,0.68173,0.60805,0.42065,0.45315,0.91228,0.0009604,0.0009604,0.0009604
22,514.19,0.53079,0.50489,0.95616,0.60034,0.83122,0.66564,0.59978,0.39409,0.4464,0.88922,0.00095842,0.00095842,0.00095842
23,537.231,0.52624,0.50298,0.95489,0.62319,0.80157,0.6748,0.60639,0.40311,0.44256,0.89946,0.00095644,0.00095644,0.00095644
24,560.63,0.50538,0.49,0.9451,0.61187,0.8023,0.68053,0.60961,0.41756,0.44108,0.89607,0.00095446,0.00095446,0.00095446
25,584.169,0.50626,0.49442,0.94682,0.63577,0.72631,0.68457,0.61146,0.41455,0.44745,0.90058,0.00095248,0.00095248,0.00095248
26,607.48,0.50106,0.48634,0.94198,0.67737,0.70039,0.67616,0.60905,0.40086,0.43999,0.8934,0.0009505,0.0009505,0.0009505
27,630.645,0.49194,0.48407,0.93824,0.66582,0.76072,0.68844,0.62035,0.39085,0.43269,0.89368,0.00094852,0.00094852,0.00094852
28,654.048,0.4992,0.48654,0.94066,0.5827,0.81172,0.69021,0.6194,0.4,0.44263,0.89669,0.00094654,0.00094654,0.00094654
29,677.367,0.49799,0.48115,0.93742,0.70427,0.72989,0.69008,0.62418,0.3901,0.42628,0.90009,0.00094456,0.00094456,0.00094456
30,700.658,0.48729,0.47586,0.93406,0.71307,0.67771,0.66931,0.61066,0.38138,0.43492,0.8912,0.00094258,0.00094258,0.00094258
31,723.977,0.47874,0.47302,0.93317,0.66482,0.73213,0.66038,0.59802,0.3886,0.43145,0.89334,0.0009406,0.0009406,0.0009406
32,747.223,0.48389,0.47246,0.93187,0.68514,0.73473,0.68175,0.61614,0.39173,0.43256,0.88981,0.00093862,0.00093862,0.00093862
33,770.44,0.48029,0.46924,0.93267,0.58837,0.82665,0.68718,0.62237,0.38146,0.42146,0.89391,0.00093664,0.00093664,0.00093664
34,793.858,0.46966,0.46496,0.92639,0.67399,0.73634,0.67217,0.61202,0.37377,0.42091,0.88814,0.00093466,0.00093466,0.00093466
35,817.155,0.47747,0.46271,0.93118,0.70272,0.69581,0.67862,0.61848,0.38173,0.42348,0.88961,0.00093268,0.00093268,0.00093268
36,840.512,0.46116,0.4596,0.92459,0.71036,0.72221,0.69999,0.63926,0.36681,0.41546,0.88183,0.0009307,0.0009307,0.0009307
37,863.715,0.46421,0.45846,0.92701,0.67803,0.73487,0.68605,0.62237,0.36813,0.42304,0.8924,0.00092872,0.00092872,0.00092872
38,886.991,0.46078,0.45577,0.92177,0.75772,0.68597,0.70104,0.6384,0.36949,0.412,0.88471,0.00092674,0.00092674,0.00092674
39,910.193,0.46153,0.45628,0.92564,0.59676,0.85574,0.69415,0.63687,0.36071,0.41661,0.88523,0.00092476,0.00092476,0.00092476
40,933.436,0.46652,0.45792,0.92693,0.60253,0.84962,0.71326,0.6488,0.37344,0.41528,0.88977,0.00092278,0.00092278,0.00092278
41,956.719,0.45599,0.45393,0.92283,0.60612,0.79499,0.70153,0.64292,0.36751,0.40293,0.88251,0.0009208,0.0009208,0.0009208
42,979.962,0.46207,0.45526,0.92332,0.70796,0.74065,0.69548,0.64021,0.35504,0.39801,0.8767,0.00091882,0.00091882,0.00091882
43,1002.87,0.45717,0.45046,0.92152,0.70936,0.72179,0.69886,0.64506,0.34753,0.40068,0.87843,0.00091684,0.00091684,0.00091684
44,1025.97,0.45459,0.44405,0.91993,0.72095,0.73312,0.69558,0.6379,0.34599,0.39757,0.87536,0.00091486,0.00091486,0.00091486
45,1049.13,0.45145,0.44795,0.91848,0.75235,0.68634,0.70627,0.64191,0.35291,0.40427,0.88135,0.00091288,0.00091288,0.00091288
46,1072.07,0.45313,0.44424,0.92035,0.63619,0.74503,0.69572,0.63924,0.34341,0.40271,0.87656,0.0009109,0.0009109,0.0009109
47,1095.2,0.43753,0.4408,0.91301,0.64173,0.76639,0.69857,0.63625,0.37141,0.3991,0.88521,0.00090892,0.00090892,0.00090892
48,1118.13,0.44405,0.43595,0.9154,0.72332,0.70113,0.70812,0.65471,0.34768,0.38945,0.8782,0.00090694,0.00090694,0.00090694
49,1140.98,0.44273,0.43975,0.91786,0.6199,0.79277,0.69524,0.63939,0.35075,0.40059,0.87639,0.00090496,0.00090496,0.00090496
50,1163.96,0.44527,0.43928,0.91585,0.66449,0.76155,0.70274,0.65073,0.34695,0.39072,0.87646,0.00090298,0.00090298,0.00090298
51,1187.18,0.43741,0.4368,0.91238,0.62148,0.78773,0.7083,0.65504,0.3422,0.39138,0.87789,0.000901,0.000901,0.000901
52,1210.52,0.43588,0.43349,0.91149,0.62211,0.82871,0.70048,0.64831,0.34452,0.39092,0.8771,0.00089902,0.00089902,0.00089902
53,1233.8,0.44116,0.43576,0.91423,0.62733,0.81827,0.70247,0.65006,0.33972,0.38581,0.87636,0.00089704,0.00089704,0.00089704
54,1257.23,0.43292,0.43098,0.90978,0.70329,0.72182,0.71159,0.65966,0.33671,0.38435,0.87315,0.00089506,0.00089506,0.00089506
55,1280.6,0.43157,0.43196,0.90853,0.68404,0.77012,0.70978,0.65835,0.33433,0.38215,0.87166,0.00089308,0.00089308,0.00089308
56,1303.86,0.42973,0.42574,0.90538,0.72051,0.75735,0.72295,0.66658,0.33524,0.37648,0.8718,0.0008911,0.0008911,0.0008911
57,1327.04,0.42832,0.42517,0.90694,0.74242,0.72987,0.71105,0.65788,0.33476,0.38197,0.87252,0.00088912,0.00088912,0.00088912
58,1350.06,0.42532,0.4259,0.90644,0.64184,0.76401,0.71124,0.66136,0.32681,0.37431,0.86835,0.00088714,0.00088714,0.00088714
59,1373.2,0.41976,0.42135,0.90457,0.70844,0.73603,0.71129,0.66251,0.32157,0.37965,0.86634,0.00088516,0.00088516,0.00088516
60,1396.58,0.42471,0.42379,0.90818,0.71584,0.71951,0.71382,0.66331,0.32614,0.37869,0.86809,0.00088318,0.00088318,0.00088318
61,1420.08,0.41991,0.42199,0.90525,0.6709,0.77025,0.72158,0.66857,0.32897,0.37528,0.86961,0.0008812,0.0008812,0.0008812
62,1443.23,0.42246,0.4227,0.90625,0.65899,0.74638,0.70584,0.65684,0.32517,0.375,0.86836,0.00087922,0.00087922,0.00087922
63,1466.41,0.42843,0.42271,0.90989,0.61755,0.80178,0.71285,0.66005,0.33436,0.37711,0.87045,0.00087724,0.00087724,0.00087724
64,1489.56,0.42267,0.41577,0.90388,0.69131,0.76377,0.71353,0.66158,0.3216,0.37533,0.86807,0.00087526,0.00087526,0.00087526
65,1512.73,0.41462,0.41293,0.90271,0.62627,0.76174,0.70883,0.65855,0.32266,0.37527,0.86973,0.00087328,0.00087328,0.00087328
66,1535.94,0.41353,0.4149,0.90361,0.75781,0.70793,0.71518,0.66352,0.32009,0.3726,0.86674,0.0008713,0.0008713,0.0008713
67,1559,0.41619,0.41264,0.90361,0.62792,0.76343,0.7063,0.65738,0.3235,0.38521,0.86745,0.00086932,0.00086932,0.00086932
68,1582.01,0.41426,0.41215,0.90336,0.70275,0.76235,0.71668,0.66556,0.32501,0.37432,0.86968,0.00086734,0.00086734,0.00086734
69,1605.04,0.41562,0.41204,0.90187,0.72162,0.71876,0.71393,0.66365,0.32025,0.37246,0.86835,0.00086536,0.00086536,0.00086536
70,1627.88,0.40377,0.40792,0.89945,0.70424,0.73272,0.71761,0.66822,0.31839,0.36952,0.86603,0.00086338,0.00086338,0.00086338
71,1650.71,0.41612,0.41239,0.90066,0.70751,0.72997,0.71463,0.66758,0.31808,0.37121,0.8671,0.0008614,0.0008614,0.0008614
72,1673.43,0.40416,0.40443,0.89634,0.61972,0.83909,0.71745,0.66908,0.30723,0.36384,0.86412,0.00085942,0.00085942,0.00085942
73,1696.3,0.4071,0.40675,0.89777,0.74863,0.71264,0.73756,0.68192,0.32254,0.36773,0.86964,0.00085744,0.00085744,0.00085744
74,1719.12,0.40933,0.40628,0.90024,0.65258,0.78914,0.7301,0.67887,0.30954,0.36386,0.86429,0.00085546,0.00085546,0.00085546
75,1741.84,0.40149,0.40807,0.89708,0.67324,0.76839,0.72602,0.67417,0.31673,0.36064,0.86559,0.00085348,0.00085348,0.00085348
76,1764.36,0.4111,0.4078,0.89942,0.63241,0.80014,0.72474,0.67394,0.30992,0.36595,0.86581,0.0008515,0.0008515,0.0008515
77,1787.07,0.40797,0.40548,0.89692,0.72021,0.72133,0.72585,0.67533,0.31485,0.36553,0.86929,0.00084952,0.00084952,0.00084952
78,1809.86,0.40037,0.40265,0.89799,0.63734,0.75198,0.72139,0.6767,0.30735,0.363,0.86449,0.00084754,0.00084754,0.00084754
79,1832.39,0.39915,0.4038,0.89866,0.69667,0.76415,0.71821,0.6711,0.31625,0.36239,0.86671,0.00084556,0.00084556,0.00084556
80,1854.71,0.40271,0.40133,0.89844,0.72783,0.72594,0.73569,0.68365,0.30752,0.36206,0.8673,0.00084358,0.00084358,0.00084358
81,1877.15,0.40151,0.40061,0.8981,0.73226,0.71141,0.71737,0.6726,0.30541,0.36035,0.86415,0.0008416,0.0008416,0.0008416
