epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8206,1.01392,1.71388,1.25066,0.59839,0.31927,0.4394,0.31104,0.98453,1.82405,1.36635,0.0702055,0.0033105,0.0033105
2,21.812,0.8855,1.08378,1.18691,0.53723,0.57676,0.51409,0.38968,0.7496,1.50403,1.13455,0.0401397,0.00657806,0.00657806
3,31.4648,0.84446,0.94942,1.14366,0.78201,0.50406,0.53787,0.37947,0.85187,1.08108,1.18708,0.0100079,0.00977962,0.00977962
4,41.073,0.8055,0.90495,1.12197,0.8932,0.49293,0.58023,0.46031,0.71213,0.78702,1.08935,0.009703,0.009703,0.009703
5,50.6048,0.74884,0.81665,1.07616,0.74855,0.57996,0.60097,0.46843,0.68005,0.75347,1.06733,0.009604,0.009604,0.009604
6,60.1462,0.68812,0.76964,1.05743,0.73222,0.60592,0.59899,0.49505,0.59459,0.76818,1.0035,0.009505,0.009505,0.009505
7,69.8133,0.64996,0.7403,1.03061,0.73784,0.66835,0.62228,0.51278,0.55415,0.64477,0.9964,0.009406,0.009406,0.009406
8,79.4613,0.6436,0.71624,1.02258,0.86324,0.5535,0.62329,0.54013,0.54535,0.64521,0.9676,0.009307,0.009307,0.009307
9,89.1105,0.60585,0.68242,1.0083,0.90867,0.53916,0.63326,0.54483,0.49985,0.59277,0.95861,0.009208,0.009208,0.009208
10,98.6614,0.58696,0.65136,0.99855,0.89319,0.55218,0.63028,0.52599,0.48662,0.58356,0.96149,0.009109,0.009109,0.009109
11,108.266,0.57894,0.64689,0.98648,0.55895,0.81154,0.64267,0.56676,0.46807,0.58717,0.9409,0.00901,0.00901,0.00901
12,118.069,0.54743,0.62419,0.97186,0.6365,0.69151,0.64861,0.57915,0.44943,0.5533,0.93265,0.008911,0.008911,0.008911
13,127.736,0.53729,0.62237,0.97463,0.54854,0.72261,0.64303,0.5648,0.46657,0.54492,0.92699,0.008812,0.008812,0.008812
14,137.54,0.5697,0.63624,0.98378,0.53588,0.83271,0.65004,0.58021,0.43417,0.53931,0.91946,0.008713,0.008713,0.008713
15,146.932,0.54361,0.61175,0.97285,0.81115,0.60983,0.65137,0.582,0.41739,0.5305,0.90681,0.008614,0.008614,0.008614
16,156.442,0.52614,0.61085,0.9674,0.54536,0.82827,0.65201,0.59051,0.41058,0.54833,0.89689,0.008515,0.008515,0.008515
17,165.847,0.51258,0.59318,0.9563,0.67672,0.73355,0.66033,0.59028,0.4189,0.52906,0.91517,0.008416,0.008416,0.008416
18,175.39,0.50155,0.58033,0.95107,0.79811,0.60098,0.68154,0.60763,0.43115,0.53768,0.91553,0.008317,0.008317,0.008317
19,184.9,0.49746,0.58384,0.95121,0.67267,0.7268,0.65002,0.58274,0.40847,0.52277,0.90304,0.008218,0.008218,0.008218
20,194.417,0.49007,0.57569,0.94693,0.583,0.81226,0.66567,0.6007,0.40161,0.5012,0.91234,0.008119,0.008119,0.008119
21,203.95,0.48035,0.55756,0.94321,0.79712,0.65526,0.68865,0.62376,0.39067,0.50114,0.89839,0.00802,0.00802,0.00802
22,213.452,0.48328,0.57535,0.94563,0.69308,0.76969,0.65787,0.58756,0.41988,0.50637,0.91642,0.007921,0.007921,0.007921
23,222.95,0.48445,0.56425,0.93856,0.67246,0.72822,0.64995,0.58738,0.38396,0.50548,0.89987,0.007822,0.007822,0.007822
24,232.413,0.4827,0.56023,0.94204,0.66467,0.75223,0.67065,0.60175,0.38666,0.4983,0.90376,0.007723,0.007723,0.007723
25,241.884,0.47894,0.55678,0.93764,0.69573,0.76855,0.68191,0.61449,0.39283,0.48884,0.90388,0.007624,0.007624,0.007624
26,251.36,0.45955,0.54527,0.93383,0.74667,0.65082,0.66408,0.60168,0.3784,0.50529,0.89629,0.007525,0.007525,0.007525
27,260.783,0.4504,0.5449,0.92448,0.688,0.78326,0.693,0.6234,0.36557,0.48114,0.88665,0.007426,0.007426,0.007426
28,270.376,0.45005,0.53686,0.9248,0.56352,0.83087,0.67627,0.61683,0.37585,0.49622,0.89511,0.007327,0.007327,0.007327
29,279.842,0.43893,0.52038,0.92164,0.64356,0.78769,0.66271,0.60227,0.3639,0.47654,0.89539,0.007228,0.007228,0.007228
30,289.428,0.45015,0.51871,0.92526,0.65738,0.79193,0.67077,0.60835,0.39188,0.47904,0.9061,0.007129,0.007129,0.007129
31,298.969,0.42552,0.50969,0.91811,0.67677,0.76605,0.6812,0.62264,0.3564,0.45371,0.8888,0.00703,0.00703,0.00703
32,308.516,0.42606,0.51109,0.91507,0.62069,0.813,0.67837,0.62568,0.34437,0.45685,0.88545,0.006931,0.006931,0.006931
33,317.975,0.43393,0.52715,0.92168,0.80159,0.66434,0.6796,0.62288,0.33487,0.45346,0.88104,0.006832,0.006832,0.006832
