epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0319,1.0085,1.81077,1.17342,0.27409,0.10338,0.12212,0.08667,1.19713,3.10038,1.55578,0.0704687,0.00328125,0.00328125
2,21.1052,0.90935,1.08586,1.13197,0.63286,0.40892,0.38435,0.25484,1.21268,1.85852,1.5044,0.0404026,0.00654844,0.00654844
3,29.7647,0.88929,1.00864,1.11462,0.55729,0.47133,0.46372,0.30965,1.00271,1.83998,1.32517,0.0102698,0.00974898,0.00974898
4,38.3308,0.84066,0.97149,1.09634,0.95887,0.2939,0.47835,0.35722,0.78239,1.54679,1.12382,0.00970003,0.00970003,0.00970003
5,47.586,0.78082,0.89704,1.06417,0.69104,0.45824,0.49399,0.32913,0.96348,2.19086,1.22576,0.00960004,0.00960004,0.00960004
6,56.7702,0.7527,0.87994,1.05479,0.375,0.45023,0.34624,0.2241,1.37294,4.16452,1.61636,0.00950005,0.00950005,0.00950005
7,65.8621,0.71032,0.83134,1.02773,0.82283,0.5044,0.56898,0.46106,0.74075,0.92797,1.08452,0.00940006,0.00940006,0.00940006
8,75.0356,0.70104,0.81203,1.02399,0.62652,0.62457,0.59213,0.4922,0.67195,0.85908,1.03935,0.00930007,0.00930007,0.00930007
9,84.0645,0.67491,0.7958,1.01963,0.75311,0.54807,0.59637,0.47931,0.62636,0.80888,1.01929,0.00920008,0.00920008,0.00920008
10,93.1818,0.67329,0.79019,1.01363,0.66438,0.567,0.56286,0.47001,0.62714,1.12571,1.02216,0.00910009,0.00910009,0.00910009
11,103.683,0.65434,0.76402,1.00305,0.89049,0.46211,0.58389,0.48083,0.66056,0.83466,1.03214,0.0090001,0.0090001,0.0090001
12,114.618,0.65056,0.76378,1.00011,0.62463,0.67717,0.67511,0.57071,0.60149,0.77899,0.98502,0.00890011,0.00890011,0.00890011
13,125.545,0.65441,0.76341,1.00722,0.54342,0.69088,0.67743,0.55715,0.6019,0.82229,1.00539,0.00880012,0.00880012,0.00880012
14,136.333,0.63315,0.74415,0.99358,0.78205,0.58411,0.6507,0.54752,0.59753,0.69978,0.99889,0.00870013,0.00870013,0.00870013
15,147.488,0.61726,0.71933,0.98408,0.77551,0.58034,0.68641,0.57325,0.57026,0.82596,0.98462,0.00860014,0.00860014,0.00860014
16,158.334,0.62125,0.73068,0.9927,0.72236,0.58276,0.65724,0.56528,0.53877,0.64888,0.95932,0.00850015,0.00850015,0.00850015
17,167.743,0.61613,0.71869,0.98278,0.78448,0.63761,0.68126,0.5905,0.53779,0.69098,0.95997,0.00840016,0.00840016,0.00840016
18,177.869,0.60365,0.71352,0.97647,0.71223,0.67061,0.63632,0.55824,0.52202,0.63698,0.9625,0.00830017,0.00830017,0.00830017
19,188.78,0.59643,0.69878,0.98063,0.64292,0.75367,0.66254,0.57328,0.5187,0.63636,0.95583,0.00820018,0.00820018,0.00820018
20,199.964,0.58187,0.69195,0.97572,0.5712,0.79757,0.71152,0.60745,0.51264,0.64602,0.95878,0.00810019,0.00810019,0.00810019
21,210.894,0.59907,0.69912,0.97807,0.59249,0.70441,0.67473,0.56322,0.52015,0.71177,0.96226,0.0080002,0.0080002,0.0080002
22,221.543,0.58844,0.69947,0.98255,0.63676,0.71454,0.6798,0.58936,0.50406,0.6262,0.94875,0.00790021,0.00790021,0.00790021
23,232.529,0.57605,0.68201,0.96966,0.61578,0.7452,0.68867,0.60693,0.49415,0.62579,0.93476,0.00780022,0.00780022,0.00780022
24,243.501,0.57797,0.67755,0.96671,0.64579,0.72736,0.65524,0.5542,0.53875,0.71842,0.96556,0.00770023,0.00770023,0.00770023
25,254.478,0.57537,0.67824,0.96877,0.57728,0.71814,0.67372,0.58025,0.53459,0.70669,0.95251,0.00760024,0.00760024,0.00760024
26,265.321,0.56881,0.67034,0.96442,0.64006,0.79813,0.70623,0.62082,0.48582,0.60009,0.93038,0.00750025,0.00750025,0.00750025
27,276.24,0.55207,0.66405,0.95749,0.61264,0.7918,0.68897,0.60074,0.49408,0.63568,0.94185,0.00740026,0.00740026,0.00740026
28,285.29,0.56161,0.67454,0.96379,0.72584,0.64968,0.67636,0.56125,0.50352,0.64068,0.9415,0.00730027,0.00730027,0.00730027
29,294.133,0.55007,0.6607,0.95951,0.64091,0.7811,0.69162,0.61145,0.47159,0.58712,0.93491,0.00720028,0.00720028,0.00720028
30,303.216,0.55498,0.66616,0.96492,0.59037,0.83474,0.69635,0.61316,0.45779,0.59466,0.92055,0.00710029,0.00710029,0.00710029
31,312.322,0.5425,0.65822,0.9556,0.68223,0.77573,0.72413,0.63774,0.47152,0.58247,0.92399,0.0070003,0.0070003,0.0070003
32,321.305,0.54574,0.66347,0.95559,0.83841,0.59678,0.70749,0.63344,0.44106,0.61428,0.91682,0.00690031,0.00690031,0.00690031
33,330.242,0.53431,0.6458,0.94868,0.80441,0.63461,0.7353,0.65884,0.44106,0.56586,0.91231,0.00680032,0.00680032,0.00680032
34,339.102,0.53039,0.637,0.95615,0.60785,0.79912,0.69185,0.5988,0.46143,0.60623,0.91327,0.00670033,0.00670033,0.00670033
