epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.344,1.26428,1.37732,1.44997,0.66803,0.39935,0.45576,0.30209,1.1512,2.00141,1.45399,0.0700448,0.00332835,0.00332835
2,219.944,1.09433,1.04066,1.34489,0.72123,0.51911,0.54056,0.37131,0.92929,1.02039,1.28671,0.0400119,0.00662871,0.00662871
3,324.49,0.98076,0.92418,1.26353,0.73684,0.57125,0.57506,0.44903,0.78097,0.74218,1.16826,0.00994589,0.00989607,0.00989607
4,429.53,0.89834,0.82549,1.21732,0.49875,0.63968,0.60271,0.49188,0.70633,0.68363,1.12036,0.0098515,0.0098515,0.0098515
5,533.864,0.81599,0.75895,1.1598,0.67059,0.65463,0.60319,0.49554,0.62988,0.63163,1.07503,0.009802,0.009802,0.009802
6,638.388,0.77774,0.71813,1.13943,0.772,0.57837,0.63624,0.51698,0.60996,0.61274,1.0649,0.0097525,0.0097525,0.0097525
7,742.882,0.73237,0.68513,1.11062,0.67535,0.62861,0.6242,0.52237,0.56752,0.60526,1.02973,0.009703,0.009703,0.009703
8,847.584,0.70518,0.66595,1.09438,0.56691,0.67988,0.62719,0.52013,0.59517,0.58997,1.03876,0.0096535,0.0096535,0.0096535
9,952.243,0.69114,0.6568,1.08566,0.57456,0.73873,0.63308,0.54398,0.51775,0.55299,1.00191,0.009604,0.009604,0.009604
10,1055.5,0.67407,0.64481,1.07506,0.71889,0.66631,0.63258,0.54561,0.50569,0.52871,0.99914,0.0095545,0.0095545,0.0095545
11,1156.05,0.6363,0.60916,1.05629,0.664,0.75596,0.63496,0.53754,0.51001,0.53508,0.99359,0.009505,0.009505,0.009505
12,1257.43,0.62405,0.59766,1.0477,0.57504,0.70254,0.63577,0.55167,0.4961,0.51851,0.98896,0.0094555,0.0094555,0.0094555
13,1360.58,0.61748,0.59524,1.04156,0.62928,0.67894,0.63347,0.55225,0.47745,0.51584,0.98583,0.009406,0.009406,0.009406
14,1463.68,0.60258,0.5895,1.03095,0.58753,0.77702,0.62852,0.54968,0.47656,0.51874,0.97838,0.0093565,0.0093565,0.0093565
15,1568.17,0.58745,0.57519,1.02207,0.5636,0.79792,0.65202,0.57746,0.44741,0.50403,0.95988,0.009307,0.009307,0.009307
16,1672.87,0.57635,0.56136,1.01601,0.63959,0.79501,0.64297,0.56711,0.45613,0.5089,0.96593,0.0092575,0.0092575,0.0092575
17,1777.5,0.5684,0.55787,1.00923,0.69097,0.67063,0.64591,0.57449,0.44789,0.48868,0.96441,0.009208,0.009208,0.009208
18,1881.99,0.55042,0.54576,0.99962,0.67432,0.70204,0.65667,0.58256,0.43715,0.48515,0.94998,0.0091585,0.0091585,0.0091585
19,1986.75,0.54103,0.54201,1.00135,0.63511,0.79435,0.65839,0.58661,0.4433,0.48819,0.95601,0.009109,0.009109,0.009109
20,2090.7,0.54145,0.53982,0.99661,0.57044,0.79541,0.64499,0.57738,0.43024,0.47545,0.94921,0.0090595,0.0090595,0.0090595
21,2194.53,0.53358,0.52674,0.99088,0.57352,0.73123,0.65194,0.58706,0.40956,0.48256,0.93851,0.00901,0.00901,0.00901
22,2297.01,0.52599,0.52471,0.98837,0.5812,0.81218,0.65521,0.59254,0.40871,0.46898,0.93278,0.0089605,0.0089605,0.0089605
23,2401.77,0.51457,0.51483,0.98263,0.70753,0.67002,0.66127,0.59258,0.4116,0.46829,0.94108,0.008911,0.008911,0.008911
24,2505.54,0.5181,0.52142,0.98558,0.62612,0.73623,0.66978,0.60153,0.40774,0.46492,0.93785,0.0088615,0.0088615,0.0088615
25,2609.94,0.51663,0.51847,0.98606,0.55446,0.83111,0.65871,0.59079,0.40571,0.45079,0.93631,0.008812,0.008812,0.008812
26,2715.03,0.50647,0.51518,0.97729,0.56922,0.8455,0.66134,0.59471,0.40118,0.46814,0.92894,0.0087625,0.0087625,0.0087625
27,2817,0.5002,0.49839,0.97347,0.58333,0.85633,0.65675,0.59519,0.3894,0.44569,0.92805,0.008713,0.008713,0.008713
28,2920.28,0.49104,0.49861,0.96642,0.58843,0.78758,0.66876,0.60984,0.38381,0.44361,0.92906,0.0086635,0.0086635,0.0086635
29,3024.77,0.48894,0.50429,0.97033,0.62387,0.74566,0.65749,0.60158,0.38042,0.45533,0.92327,0.008614,0.008614,0.008614
30,3129.44,0.48304,0.4919,0.96431,0.62899,0.74029,0.66823,0.60446,0.38907,0.44903,0.92782,0.0085645,0.0085645,0.0085645
31,3233.32,0.48129,0.49399,0.96635,0.58703,0.88152,0.66358,0.5994,0.38452,0.44462,0.9206,0.008515,0.008515,0.008515
32,3335.34,0.47637,0.48438,0.96112,0.647,0.7041,0.65718,0.59947,0.379,0.44162,0.91797,0.0084655,0.0084655,0.0084655
33,3440.13,0.47147,0.4843,0.96003,0.61109,0.85078,0.6726,0.61486,0.369,0.43175,0.9138,0.008416,0.008416,0.008416
34,3542.56,0.47478,0.48476,0.96357,0.66724,0.73473,0.68206,0.61875,0.36626,0.43411,0.91742,0.0083665,0.0083665,0.0083665
35,3646.41,0.46156,0.47625,0.95439,0.60076,0.80197,0.66326,0.60891,0.36465,0.42599,0.91562,0.008317,0.008317,0.008317
36,3751.34,0.46071,0.46982,0.95311,0.60571,0.87148,0.67379,0.61748,0.35558,0.42044,0.91266,0.0082675,0.0082675,0.0082675
37,3855.38,0.4556,0.47163,0.95236,0.5884,0.87759,0.67378,0.62305,0.35933,0.43437,0.91485,0.008218,0.008218,0.008218
38,3959.17,0.44912,0.46574,0.94545,0.61803,0.79328,0.66807,0.61531,0.34973,0.42063,0.90826,0.0081685,0.0081685,0.0081685
39,4063.52,0.44876,0.46375,0.94903,0.57541,0.84597,0.67144,0.61198,0.35919,0.44057,0.91771,0.008119,0.008119,0.008119
40,4167.74,0.4496,0.4698,0.95015,0.5925,0.859,0.659,0.60995,0.36012,0.4237,0.91566,0.0080695,0.0080695,0.0080695
41,4271.67,0.45124,0.46492,0.94752,0.66933,0.75392,0.68514,0.63043,0.35105,0.42965,0.90406,0.00802,0.00802,0.00802
42,4376.51,0.43956,0.45907,0.94416,0.64563,0.76113,0.67952,0.62713,0.34528,0.40511,0.90311,0.0079705,0.0079705,0.0079705
43,4480.65,0.44145,0.46115,0.94491,0.6344,0.74898,0.66956,0.6156,0.34405,0.41632,0.90498,0.007921,0.007921,0.007921
44,4585.45,0.44311,0.45957,0.94347,0.61415,0.76753,0.67214,0.62127,0.34,0.42246,0.90398,0.0078715,0.0078715,0.0078715
45,4689.65,0.43786,0.4564,0.94218,0.61756,0.78574,0.67939,0.62695,0.33926,0.4083,0.90407,0.007822,0.007822,0.007822
46,4793.93,0.43237,0.4501,0.93875,0.66949,0.73544,0.66628,0.61292,0.34437,0.41486,0.90101,0.0077725,0.0077725,0.0077725
47,4897.99,0.4301,0.4458,0.93566,0.61481,0.7744,0.67267,0.61896,0.33709,0.41683,0.89907,0.007723,0.007723,0.007723
48,5002.19,0.42787,0.4481,0.93534,0.6518,0.75987,0.67631,0.63079,0.33185,0.40698,0.8974,0.0076735,0.0076735,0.0076735
49,5106.62,0.42452,0.44933,0.93601,0.66014,0.7327,0.68551,0.63398,0.33053,0.39905,0.8958,0.007624,0.007624,0.007624
50,5229.01,0.42234,0.44725,0.93299,0.60304,0.80632,0.6796,0.62969,0.32587,0.40332,0.89143,0.0075745,0.0075745,0.0075745
51,5332.89,0.42291,0.44433,0.93647,0.60814,0.79354,0.67978,0.63172,0.33455,0.39556,0.89668,0.007525,0.007525,0.007525
52,5436.33,0.41656,0.44194,0.9293,0.64573,0.74644,0.6741,0.6275,0.31891,0.40676,0.89377,0.0074755,0.0074755,0.0074755
53,5541.07,0.41344,0.43896,0.92685,0.68839,0.75253,0.70569,0.6523,0.32844,0.41049,0.89349,0.007426,0.007426,0.007426
54,5645.77,0.41425,0.43756,0.93079,0.65154,0.74975,0.68677,0.63854,0.32653,0.39959,0.89742,0.0073765,0.0073765,0.0073765
55,5749.22,0.41184,0.43745,0.92804,0.6671,0.75353,0.69352,0.64698,0.31693,0.40709,0.89224,0.007327,0.007327,0.007327
56,5853.06,0.41205,0.43132,0.92567,0.64234,0.79343,0.69375,0.64702,0.31844,0.40383,0.889,0.0072775,0.0072775,0.0072775
57,5957.57,0.40092,0.43058,0.92236,0.6886,0.74685,0.69587,0.64824,0.31329,0.39467,0.88549,0.007228,0.007228,0.007228
