epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0605,1.12486,1.66516,1.27094,0.77373,0.39751,0.45574,0.33896,0.89596,1.07995,1.13951,0.0671964,0.000331349,0.000331349
2,60.9651,0.89058,0.93272,1.1426,0.5996,0.60364,0.55284,0.42487,0.74554,0.85399,1.0749,0.0341931,0.000661392,0.000661392
3,84.707,0.80314,0.79627,1.09421,0.56563,0.71544,0.60201,0.46459,0.70755,0.74304,1.05925,0.00118655,0.000988136,0.000988136
4,108.35,0.74945,0.72995,1.07145,0.57542,0.71974,0.6196,0.48334,0.71979,0.64941,1.0459,0.00098515,0.00098515,0.00098515
5,131.6,0.72289,0.6855,1.05287,0.5384,0.78875,0.62995,0.52476,0.58626,0.58296,0.97735,0.0009802,0.0009802,0.0009802
6,154.897,0.67208,0.6487,1.02948,0.64211,0.68247,0.62642,0.51649,0.60397,0.60881,0.99025,0.00097525,0.00097525,0.00097525
7,178.133,0.66764,0.62609,1.02309,0.60498,0.72066,0.64427,0.53648,0.56523,0.55209,0.9641,0.0009703,0.0009703,0.0009703
8,201.477,0.63931,0.59976,1.01023,0.57043,0.75099,0.64854,0.55358,0.50719,0.54401,0.95062,0.00096535,0.00096535,0.00096535
9,224.615,0.62462,0.58955,1.00684,0.59257,0.81193,0.65191,0.57019,0.47807,0.50886,0.92511,0.0009604,0.0009604,0.0009604
10,247.582,0.60207,0.57719,0.99086,0.60402,0.7398,0.65343,0.55847,0.5333,0.51279,0.9557,0.00095545,0.00095545,0.00095545
11,270.555,0.59152,0.56625,0.98897,0.569,0.78101,0.64875,0.56422,0.46811,0.49127,0.91952,0.0009505,0.0009505,0.0009505
12,293.61,0.58227,0.55466,0.98323,0.5759,0.82753,0.65858,0.56809,0.48366,0.49246,0.93051,0.00094555,0.00094555,0.00094555
13,316.452,0.5594,0.54095,0.97514,0.58729,0.74608,0.64876,0.5646,0.47403,0.49746,0.92348,0.0009406,0.0009406,0.0009406
14,339.304,0.55547,0.54072,0.96982,0.62775,0.71889,0.6535,0.56711,0.48446,0.48607,0.92901,0.00093565,0.00093565,0.00093565
15,362.46,0.55827,0.53563,0.97116,0.57288,0.77208,0.65767,0.57793,0.43282,0.47119,0.90428,0.0009307,0.0009307,0.0009307
16,385.974,0.54918,0.52607,0.96418,0.60657,0.72105,0.68168,0.59997,0.43436,0.47385,0.91439,0.00092575,0.00092575,0.00092575
17,409.497,0.53413,0.51884,0.95875,0.60966,0.72406,0.67192,0.58979,0.43099,0.47538,0.91172,0.0009208,0.0009208,0.0009208
18,433.12,0.53533,0.51756,0.9618,0.5793,0.72007,0.65245,0.58096,0.42619,0.46597,0.90987,0.00091585,0.00091585,0.00091585
19,456.33,0.52846,0.51075,0.95816,0.6304,0.7063,0.65825,0.58986,0.40826,0.46078,0.90542,0.0009109,0.0009109,0.0009109
20,479.628,0.52965,0.51494,0.95759,0.59272,0.7687,0.66499,0.58506,0.45458,0.47731,0.92714,0.00090595,0.00090595,0.00090595
21,502.845,0.52885,0.50583,0.95661,0.58547,0.82428,0.65675,0.58094,0.43617,0.45904,0.91172,0.000901,0.000901,0.000901
22,525.824,0.52478,0.50078,0.95417,0.62172,0.72695,0.67536,0.60024,0.3998,0.44994,0.89687,0.00089605,0.00089605,0.00089605
23,549.224,0.51021,0.49489,0.94872,0.62143,0.82553,0.67521,0.59856,0.40689,0.44621,0.89776,0.0008911,0.0008911,0.0008911
24,572.629,0.50273,0.49056,0.94477,0.58024,0.8267,0.66421,0.59262,0.40613,0.44279,0.89969,0.00088615,0.00088615,0.00088615
25,596.015,0.50178,0.48969,0.94497,0.6331,0.73063,0.66592,0.59084,0.42697,0.44803,0.90832,0.0008812,0.0008812,0.0008812
26,619.35,0.49744,0.48574,0.94155,0.64889,0.72656,0.68413,0.61192,0.40531,0.44993,0.89849,0.00087625,0.00087625,0.00087625
27,642.53,0.49255,0.48473,0.93902,0.69319,0.74135,0.68056,0.61433,0.3871,0.43983,0.8917,0.0008713,0.0008713,0.0008713
28,665.727,0.49197,0.48362,0.9392,0.58961,0.77285,0.68237,0.61404,0.40005,0.43519,0.89865,0.00086635,0.00086635,0.00086635
29,688.877,0.49094,0.47901,0.93491,0.60564,0.76639,0.66125,0.60023,0.37936,0.43142,0.89434,0.0008614,0.0008614,0.0008614
30,711.938,0.47919,0.47395,0.93277,0.67794,0.73805,0.67591,0.60417,0.39672,0.4381,0.89746,0.00085645,0.00085645,0.00085645
