epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0515,0,14.872,0,0,0,0,0,0,0.00512,0,0.0704687,0.00328125,0.00328125
2,173.542,0,0,0,0,0,0,0,0,0,0,0.0404033,0.0065491,0.0065491
3,262.565,0,0,0,0,0,0,0,0,0,0,0.0102718,0.00975095,0.00975095
4,352.2,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,440.644,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,530.382,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
